name|type_desc|create_date|modify_date
Personal_LineaCredito|SQL_STORED_PROCEDURE|2011-08-22 12:29:53.370|2026-02-17 22:58:52.227
Modificar_ComprobanteDesc|SQL_STORED_PROCEDURE|2011-08-24 12:47:28.327|2020-10-06 14:52:48.843
Promocion_Insertar|SQL_STORED_PROCEDURE|2011-08-24 19:53:01.927|2018-03-18 10:54:54.273
TicketDescuento_Insertar|SQL_STORED_PROCEDURE|2011-08-26 18:38:49.397|2015-08-19 21:54:42.500
Promocion_mostrarActiva|SQL_STORED_PROCEDURE|2011-08-27 09:54:17.957|2015-08-19 21:54:42.503
Promocion_Modificar|SQL_STORED_PROCEDURE|2011-08-27 11:07:31.407|2018-03-18 10:56:05.813
sp_nrodoc|SQL_STORED_PROCEDURE|2011-08-31 11:22:47.103|2015-08-19 21:54:42.523
Cancelar_Deuda|SQL_STORED_PROCEDURE|2011-09-01 18:38:19.050|2015-08-19 21:54:42.527
Promocion_mostrar|SQL_STORED_PROCEDURE|2011-09-05 09:33:19.117|2015-08-19 21:54:41.780
Modificar_vuelto|SQL_STORED_PROCEDURE|2011-09-13 02:06:08.903|2015-08-19 21:54:41.780
Modificar_ComprobanteCompra|SQL_STORED_PROCEDURE|2011-09-15 01:00:27.780|2021-12-04 21:13:31.650
TipoDoc_CBBuscarxNom|SQL_STORED_PROCEDURE|2011-09-15 01:22:28.967|2026-05-15 13:35:21.317
Buscar_Comprobantepedido|SQL_STORED_PROCEDURE|2011-09-15 01:47:49.577|2021-05-11 18:14:57.080
Buscar_Comprobantepedidoxcomprobante|SQL_STORED_PROCEDURE|2011-09-15 02:28:57.437|2015-08-19 21:54:41.990
PERSONA_Buscarxdni|SQL_STORED_PROCEDURE|2011-09-15 21:12:32.133|2020-07-10 14:23:06.357
PERSONA_Buscarxruc|SQL_STORED_PROCEDURE|2011-09-15 21:13:13.950|2021-01-29 17:24:43.777
Producto_ActualizarPrecios|SQL_STORED_PROCEDURE|2011-09-20 23:54:26.357|2015-08-19 21:54:42.233
Producto_codRapido|SQL_STORED_PROCEDURE|2011-09-22 13:28:39.483|2015-08-19 21:54:42.233
Producto_mostrarcodrap|SQL_STORED_PROCEDURE|2011-09-22 13:28:54.123|2018-08-24 20:36:48.143
Crear_DetallePago|SQL_STORED_PROCEDURE|2011-09-28 21:44:52.310|2015-08-19 21:54:42.417
sp_Pago_Insertar|SQL_STORED_PROCEDURE|2011-09-28 21:45:15.090|2015-08-19 21:54:42.420
Pagar_saldo|SQL_STORED_PROCEDURE|2011-09-28 21:45:36.327|2015-08-19 21:54:42.420
MostrarCostos|SQL_STORED_PROCEDURE|2011-09-28 21:47:42.200|2015-08-19 21:54:42.423
Producto_ActualizarUtilidad|SQL_STORED_PROCEDURE|2011-09-28 21:48:47.873|2015-08-19 21:54:42.427
Ubicacion_Insertar|SQL_STORED_PROCEDURE|2011-10-11 13:54:59.750|2015-08-19 21:54:42.490
ubicacion_Modificar|SQL_STORED_PROCEDURE|2011-10-11 13:56:16.750|2015-08-19 21:54:42.500
Ubicacion_CBBuscarxNom|SQL_STORED_PROCEDURE|2011-10-11 13:56:36.340|2015-08-19 21:54:42.503
Ubicacion_BuscarxNom|SQL_STORED_PROCEDURE|2011-10-11 13:57:03.733|2015-08-19 21:54:42.503
Distcaotica_Eliminar|SQL_STORED_PROCEDURE|2011-10-11 13:59:53.793|2015-08-19 21:54:42.520
Producto_Distcaotica|SQL_STORED_PROCEDURE|2011-10-11 14:02:04.297|2015-08-19 21:54:42.527
Sp_Movimiento_recuperarenvio|SQL_STORED_PROCEDURE|2011-10-11 14:15:10.373|2015-08-19 21:54:42.530
ComprobantePedido_Eliminar|SQL_STORED_PROCEDURE|2011-10-11 20:42:20.967|2015-08-19 21:54:42.533
Comprobante_Eliminar|SQL_STORED_PROCEDURE|2011-10-11 20:42:52.250|2015-08-19 21:54:42.533
DetalleMovimiento_Eliminar|SQL_STORED_PROCEDURE|2011-10-11 20:43:08.513|2015-08-19 21:54:42.537
Movimiento_Eliminar|SQL_STORED_PROCEDURE|2011-10-11 20:43:27.170|2015-08-19 21:54:42.540
buscar_comprarepetida|SQL_STORED_PROCEDURE|2011-10-11 20:43:48.763|2015-08-19 21:54:42.540
Buscar_Distribucion|SQL_STORED_PROCEDURE|2011-10-11 20:46:20.483|2015-08-19 21:54:42.543
Producto_difPrecios|SQL_STORED_PROCEDURE|2011-10-11 20:53:42.170|2015-08-19 21:54:42.550
Buscar_mostrarlinea1|SQL_STORED_PROCEDURE|2011-10-11 20:59:55.700|2015-08-19 21:54:42.560
Buscar_mostrarSublinea1|SQL_STORED_PROCEDURE|2011-10-11 21:01:23.920|2015-08-19 21:54:42.570
Modificar_NCComprobante|SQL_STORED_PROCEDURE|2011-10-11 21:07:08.233|2015-08-19 21:54:42.580
mostar_ConfPrecios|SQL_STORED_PROCEDURE|2011-11-04 22:00:07.640|2015-08-19 21:54:42.580
MOSTRARcaja|SQL_STORED_PROCEDURE|2011-11-04 22:01:31.060|2016-03-07 02:48:55.390
MostrarDXC|SQL_STORED_PROCEDURE|2011-11-04 22:03:34.030|2021-06-23 17:54:28.150
Mostrar_CantidadesVendidas|SQL_STORED_PROCEDURE|2012-02-08 10:59:35.530|2015-08-19 21:54:41.590
RazonSocial_Insertar|SQL_STORED_PROCEDURE|2012-03-15 00:32:43.510|2015-08-19 21:54:41.660
