Cod_Producto,Bombona,Cod_Contenido,ContenidoFuente,Cod_UnidadFuente,UnidadFuenteLegacy,CantidadFuenteLegacy,M3GasResultado,PesoNetoKgResultado
266,"MADURGAS (N2 + Etileno 4%) 12*50 / 200BAR",407,"ETILENO PURO B50 / 18,5KG LIQUIDO",3,"UND",5.428000,115.200000,136.480000
267,"MADURGAS (N2 + Etileno 4%) 16*50 / 200BAR",407,"ETILENO PURO B50 / 18,5KG LIQUIDO",3,"UND",7.238000,153.600000,181.970000
268,"MADURGAS (N2 + Etileno 4%) B40 / 300BAR",407,"ETILENO PURO B50 / 18,5KG LIQUIDO",3,"UND",0.543000,11.520000,13.650000
269,"MADURGAS (N2 + Etileno 4%) B50 / 300BAR",407,"ETILENO PURO B50 / 18,5KG LIQUIDO",3,"UND",0.679000,14.400000,17.060000
270,"MADURGAS (N2 + Etileno 4%) 12*50 / 300BAR",407,"ETILENO PURO B50 / 18,5KG LIQUIDO",3,"UND",8.142000,172.800000,204.720000
271,"MADURGAS (N2 + Etileno 4%) 16*50 / 300BAR",407,"ETILENO PURO B50 / 18,5KG LIQUIDO",3,"UND",10.856000,230.400000,272.960000
272,"NIDRO5 (N2 95% + H2 5%) B5 / 200BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",1.069000,0.950000,1.070000
273,"NIDRO5 (N2 95% + H2 5%) B7 / 200BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",1.497000,1.330000,1.500000
274,"NIDRO5 (N2 95% + H2 5%) B10 / 200BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",2.139000,1.900000,2.150000
275,"NIDRO5 (N2 95% + H2 5%) B14 / 200BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",2.994000,2.660000,3.010000
276,"NIDRO5 (N2 95% + H2 5%) B20 / 200BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",4.278000,3.800000,4.290000
277,"NIDRO5 (N2 95% + H2 5%) B30 / 200BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",6.417000,5.700000,6.440000
278,"NIDRO5 (N2 95% + H2 5%) B40 / 200BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",8.556000,7.600000,8.590000
279,"NIDRO5 (N2 95% + H2 5%) B50 / 200BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",10.695000,9.500000,10.730000
280,"NIDRO5 (N2 95% + H2 5%) B5 / 300BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",1.604000,1.430000,1.610000
281,"NIDRO5 (N2 95% + H2 5%) B7 / 300BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",2.246000,2.000000,2.250000
282,"NIDRO5 (N2 95% + H2 5%) B10 / 300BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",3.208000,2.850000,3.220000
283,"NIDRO5 (N2 95% + H2 5%) B14 / 300BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",4.492000,3.990000,4.510000
284,"NIDRO5 (N2 95% + H2 5%) B20 / 300BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",6.417000,5.700000,6.440000
285,"NIDRO5 (N2 95% + H2 5%) B30 / 300BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",9.625000,8.550000,9.660000
286,"NIDRO5 (N2 95% + H2 5%) B40 / 300BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",16.042000,14.250000,16.100000
287,"Aire Sintético Comprimido (N2 + O2 20%)  B10 / 200BAR",378,"Oxigeno Liquido - LOX",2,"Litros",0.536000,1.980000,2.410000
288,"Aire Sintético Comprimido (N2 + O2 20%)  B14 / 200BAR ",378,"Oxigeno Liquido - LOX",2,"Litros",0.751000,2.770000,3.380000
289,"Aire Sintético Comprimido (N2 + O2 20%)  B5 / 200BAR",378,"Oxigeno Liquido - LOX",2,"Litros",0.268000,0.990000,1.210000
